"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort","first_non_na"
"123",2971,"A_23",NA,"E488_23","EG2971","CL817_24","E018_M","1/12/2023","19/1/2024",NA,"ALIVE",0,"Might be two clutches.",2,"J",1,11,1,0,"NW","","Cold","Control",1
"124",3078,"A_23",NA,"E201_23","EG3078","CL846_24","E050_F120","8/12/2023","24/1/2024",NA,"ALIVE",0,"",1,"K",1,10,1,0,"SE","","Cold","Control",1
"125",3025,"A_23",NA,"E098_23","EG3025","CL830_24","E015_M","4/12/2023","19/1/2024",NA,"ALIVE",0,"",4,"K",1,10,1,0,"S","","Cold","Control",1
"126",3155,"B_23",NA,"E368_23","EG3155","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",1,"M",1,8,1,0,"SE","","Cold","CORT",1
"127",3200,"B_23",NA,"E370_23","EG3200","CL874_24","E040_F120","15/12/2023","2/2/2024",NA,"ALIVE",0,"",4,"O",1,6,1,0,"S","","Cold","CORT",1
"128",2919,"B_23",NA,"E745_23","EG2919","CL806_24","E014_M","29/11/2023","15/1/2024",NA,"ALIVE",0,"",3,"P",1,5,1,0,"SW","","Cold","CORT",1
"129",3038,"A_23",NA,"E133_23","EG3038","CL833_24","E008_F120","4/12/2023","19/1/2024",NA,"ALIVE",0,"",2,"Q",1,4,1,0,"NW","","Cold","Control",1
"130",3090,"A_28",NA,"E195_23","EG3090","CL848_24","E011_M/E024_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",3,"Q",1,4,1,0,"SW","","Hot","Control",1
"131",3031,"A_23",NA,"E720_23","EG3031","CL831_24","E033_F120","4/12/2023","22/1/2024",NA,"ALIVE",0,"",4,"Q",1,4,1,0,"S","","Cold","Control",1
"132",2981,"B_23",NA,"E837_23","EG2981","CL820_24","E050_F120","4/12/2023","24/1/2024",NA,"ALIVE",0,"",2,"R",1,3,1,0,"NW","","Cold","CORT",1
"133",2982,"A_28",NA,"E078_23","EG2982","CL820_24","E050_F120","4/12/2023","8/1/2024",NA,"ALIVE",0,"",3,"S",1,2,1,0,"SW","","Hot","Control",1
"134",2926,"A_23",NA,"E268_23","EG2926","CL808_24","E013_M","29/11/2023","19/1/2024",NA,"ALIVE",0,"",1,"A",1,1,1,0,"SE","","Cold","Control",1
"135",3051,"B_28",NA,"E296_23","EG3051","CL836_24","E008_F120","6/12/2023","5/1/2024",NA,"ALIVE",0,"",3,"C",1,3,1,0,"SW","","Hot","CORT",1
"136",3095,"A_23",NA,"E734_23","EG3095","CL849_24","E014_F120","8/12/2023","22/1/2024",NA,"ALIVE",0,"",2,"D",1,4,1,0,"NW","","Cold","Control",1
"137",3086,"A_28",NA,"E234_23","EG3086","CL848_24","E011_M/E024_M","8/12/2023","8/1/2024",NA,"ALIVE",0,"",2,"F",1,6,1,0,"NW","","Hot","Control",1
"138",3014,"A_28",NA,"E0154_23","EG3014","CL827_24","E019_M","4/12/2023","3/1/2024",NA,"ALIVE",0,"",4,"F",1,6,1,0,"S","","Hot","Control",1
"139",3198,"B_28",NA,"E765_23","EG3198","CL874_24","E040_F120","15/12/2023","15/1/2024",NA,"ALIVE",0,"",4,"H",1,8,1,0,"S","","Hot","CORT",1
"140",2922,"A_23",NA,"E660_23","EG2922","CL807_24","E011_M/E024_M","29/11/2023","19/1/2024",NA,"ALIVE",0,"",4,"J",1,10,1,0,"S","","Cold","Control",1
"141",2952,"A_23",NA,"E1026_23","EG2952","CL813_24","E036_F120","1/12/2023","19/1/2024",NA,"ALIVE",0,"",3,"L",1,12,1,0,"SW","","Cold","Control",1
"142",3155,"B_23",NA,"E368_23","EG3155","CL865_24","E018_M","13/12/2023","12/1/2024",NA,"ALIVE",0,"",1,"M",1,13,1,0,"SE","","Cold","CORT",1
"143",3041,"B_28",NA,"E198_23","EG3041","CL833_24","E008_F120","4/12/2023","1/1/2024",NA,"ALIVE",0,"",4,"M",1,13,1,0,"S","","Hot","CORT",1
