"","lizard_id","trt","sex","current_enclosure","egg_id","clutch","egg_enclosure","egg_date","hatch_date","start_date","age","death_date","liz_status","mortality","notes","maze","group","day","batch","choice","errors","arm_chosen","obs","temp","cort"
"65",3155,"B_23","f","E368_23","EG3155","CL865_24","E018_M","13/12/2023","12/1/2024","17/3/2024",65,NA,"ALIVE",0,"",1,"M",1,13,0,2,"NE","","Cold","CORT"
"66",3157,"B_28","m","E701_23","EG3157","CL865_24","E018_M","13/12/2023","12/1/2024","17/3/2024",65,NA,"ALIVE",0,"",3,"I",1,9,1,0,"SW","","Hot","CORT"
"67",3158,"B_23","m","E3001_23","EG3158","CL865_24","E018_M","13/12/2023","28/1/2024","17/3/2024",49,NA,"ALIVE",0,"",2,"A",1,1,0,1,"NE","Tail lost","Cold","CORT"
"68",3159,"A_28","m","E169_23","EG3159","CL865_24","E018_M","13/12/2023","10/1/2024","17/3/2024",67,NA,"ALIVE",0,"",3,"F",1,6,0,7,"N","","Hot","Control"
"69",3176,"B_28","m","E524_23","EG3176","CL869_24","E053_F120","15/12/2023","10/1/2024","17/3/2024",67,NA,"ALIVE",0,"",2,"T",1,20,0,3,"NE","","Hot","CORT"
"70",3178,"A_28","f","E779_23","EG3178","CL869_24","E053_F120","15/12/2023","12/1/2024","17/3/2024",65,NA,"ALIVE",0,"",2,"I",1,9,0,5,"SW","","Hot","Control"
"71",3179,"B_28","m","E262_23","EG3179","CL869_24","E053_F120","15/12/2023","12/1/2024","17/3/2024",65,NA,"ALIVE",0,"",4,"C",1,3,0,7,"SE","","Hot","CORT"
"72",3188,"B_28","m","E311_23","EG3188","CL872_24","E008_F120","15/12/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",1,"I",1,9,0,1,"SW","","Hot","CORT"
"73",3191,"B_28","m","E694_23","EG3191","CL872_24","E008_F120","15/12/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",2,"H",1,8,0,5,"NE","","Hot","CORT"
"74",3193,"A_28","m","E747_23","EG3193","CL873_24","E038_F120","15/12/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",4,"R",1,18,0,4,"NW","","Hot","Control"
"75",3195,"B_28","m","E284_23","EG3195","CL873_24","E038_F120","15/12/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",3,"T",1,20,0,2,"SE","","Hot","CORT"
"76",3198,"B_28","m","E765_23","EG3198","CL874_24","E040_F120","15/12/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",4,"H",1,8,1,0,"S","","Hot","CORT"
"77",3200,"B_23","m","E370_23","EG3200","CL874_24","E040_F120","15/12/2023","2/2/2024","17/3/2024",44,NA,"ALIVE",0,"",4,"O",1,15,0,1,"SW","","Cold","CORT"
"78",3201,"A_28","f","E604_23","EG3201","CL874_24","E040_F120","15/12/2023","12/1/2024","17/3/2024",65,NA,"ALIVE",0,"",3,"J",1,10,0,6,"NW","","Hot","Control"
"79",3212,"B_23","m","E4003_23","EG3212","CL872_24","E008_F120","15/12/2023","31/1/2024","17/3/2024",46,NA,"ALIVE",0,"",3,"O",1,15,0,6,"NE","","Cold","CORT"
"80",2851,"B_23","f","E667_23","EG2851","CL786_24","E004_F120","24/11/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",4,"N",2,14,0,2,"SE","","Cold","CORT"
"81",2873,"A_23","m","E607_23","EG2873","CL794_24","E036_F120","27/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",2,"G",2,7,0,14,"NW","","Cold","Control"
"82",2885,"B_23","f","E548_23","EG2885","CL797_24","E031","27/11/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",2,"N",2,14,1,0,"NW","","Cold","CORT"
"83",2904,"A_23","f","E044_23","EG2904","CL802_24","E014_F120","29/11/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",1,"L",2,12,0,5,"NE","","Cold","Control"
"84",2908,"A_23","m","E448_23","EG2908","CL803_24","E038_F120","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"A",2,1,0,7,"S","","Cold","Control"
"85",2911,"B_23","f","E130_23","EG2911","CL803_24","E038_F120","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"K",2,11,0,7,"S","","Cold","CORT"
"86",2919,"B_23","f","E745_23","EG2919","CL806_24","E014_M","29/11/2023","15/1/2024","17/3/2024",62,NA,"ALIVE",0,"",3,"P",2,16,0,6,"SE","","Cold","CORT"
"87",2922,"A_23","f","E660_23","EG2922","CL807_24","E011_M/E024_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",4,"J",2,10,0,11,"NE","","Cold","Control"
"88",2924,"B_23","m","E703_23","EG2924","CL807_24","E011_M/E024_M","29/11/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",1,"T",2,20,0,1,"N","","Cold","CORT"
"89",2925,"B_28",NA,"E884_23","EG2925","CL807_24","E011_M/E024_M","29/11/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",1,"H",2,8,0,6,"SW","","Hot","CORT"
"90",2926,"A_23","f","E268_23","EG2926","CL808_24","E013_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",1,"A",2,1,0,2,"S","","Cold","Control"
"91",2928,"A_23","m","E1025_23","EG2928","CL808_24","E013_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",2,"S",2,19,0,2,"NE","","Cold","Control"
"92",2930,"B_23","f","E532_23","EG2930","CL808_24","E013_M","29/11/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",4,"L",2,12,0,8,"NE","","Cold","CORT"
"93",2931,"B_28","f","E178_23","EG2931","CL808_24","E013_M","29/11/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",3,"D",2,4,0,8,"S","","Hot","CORT"
"94",2950,"B_28","m","E269_23","EG2950","CL813_24","E036_F120","1/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",4,"P",2,16,0,5,"SE","","Hot","CORT"
"95",2951,"B_28","f","E115_23","EG2951","CL813_24","E036_F120","1/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"",1,"E",2,5,0,3,"SW","","Hot","CORT"
"96",2952,"A_23","m","E1026_23","EG2952","CL813_24","E036_F120","1/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"",3,"L",2,12,0,10,"NW","","Cold","Control"
"97",2953,"B_23","m","E157_23","EG2953","CL813_24","E036_F120","1/12/2023","17/1/2024","17/3/2024",60,NA,"ALIVE",0,"",2,"L",2,12,0,4,"NE","","Cold","CORT"
"98",2958,"B_23","f","E493_23","EG2958","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024","17/3/2024",55,NA,"ALIVE",0,"Might be two clutches.",2,"K",2,11,0,11,"SW","","Cold","CORT"
"99",2959,"A_23","m","E1023_23","EG2959","CL815_24","E017_M, E007_M","1/12/2023","19/1/2024","17/3/2024",58,NA,"ALIVE",0,"Might be two clutches.",4,"A",2,1,0,1,"SE","","Cold","Control"
"100",2960,"B_23","m","E387_23","EG2960","CL815_24","E017_M, E007_M","1/12/2023","22/1/2024","17/3/2024",55,NA,"ALIVE",0,"Might be two clutches.",3,"E",2,5,0,1,"NE","","Cold","CORT"
"101",2961,"B_28","m","E123_23","EG2961","CL815_24","E017_M, E007_M","1/12/2023","1/1/2024","17/3/2024",76,NA,"ALIVE",0,"Might be two clutches. Where?",2,"O",2,15,0,8,"NE","","Hot","CORT"
