experiment,plate,specimen,tube,tube.no,.no,n,min,median,max,geo.mean,arith.mean,sd,se,r.sd,r.se,comp
olfactory bulb,6,Specimen_063,OB,1,35,1418,1.5563025007672873,3.0865333740583636,3.8151791301394185,2.8983506862919355,3.1103068502882234,0.4966131322545799,0.01318803479393981,0.6373448383234223,0.016925299307708187,NA
olfactory bulb,6,Specimen_063,OB,1,35,1418,2.060697840353612,3.606488371724828,4.610819800835439,3.5355612130391196,3.777474064534283,0.5272321669970249,0.014001152428801735,0.8110274085504828,0.02153760540774335,NA
olfactory bulb,6,Specimen_063,OB,1,35,1418,4.70794253969711,4.83672487400743,4.917803631830688,4.836666087639617,4.838924054843311,0.04450606542627535,0.0011819009632677065,0.07163941584397071,0.0019024529304703974,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,2.8808135922807914,3.158060793936605,3.3823773034681137,3.154951039566422,3.167461070687336,0.10542567361600119,0.004787133239675646,0.16625238798119044,0.007549132060365735,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,2.060697840353612,2.3909351071033793,2.73559889969818,2.384231088955313,2.410803313736044,0.1536733611288322,0.006977947874367259,0.22382243323373152,0.010163253154264456,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,2.3201462861110542,2.4216039268698313,2.6148972160331345,2.4299212221415933,2.436356126646569,0.07404397070695734,0.003362163514931971,0.1283758308538608,0.005829246197562077,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,4.824689141733933,4.905533386708182,4.9835233597075215,4.9077990051352955,4.909319725862389,0.03637888002937713,0.0016518798489742043,0.06038562762594846,0.0027419701035989305,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,2.1583624920952498,2.4424797690644486,2.7708520116421442,2.4402040920418173,2.459252550757246,0.12859462346134043,0.005839181058094018,0.1984826365403908,0.009012632258265712,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,2.530199698203082,2.8488047010518036,3.2830749747354715,2.8520018747228337,2.877613549298511,0.14619500330164736,0.0066383731379221185,0.20259603823208683,0.009199412207504446,NA
olfactory bulb,6,Specimen_063,OB,2,36,485,4.821442286475976,4.8911143772707995,4.96197340025198,4.893775722922592,4.894981479094473,0.03233481465459246,0.0014682482997031288,0.052646913475034064,0.0023905731954878516,NA
