plate,specimen,tube,tube.no,.no,ch,n,min,median,max,geo.mean,arith.mean,sd,se
1,Specimen_002,C11,C11,35,percp.cy5.5,20727,1.886490725,3.021437386,3.953169917,3.01420117,3.181861138,0.398538852,0.002768232
1,Specimen_002,C11,C11,35,ssc,20727,1.828659906,2.708080816,3.513989591,2.726237314,2.859609126,0.344222181,0.002390951
1,Specimen_002,C12,C12,36,alexa.fluor.488,21317,1.354108446,2.253822461,3.041787319,2.249005713,2.372549787,0.337822323,0.002313797
1,Specimen_002,C12,C12,36,apc,21317,1.975339865,2.748467115,3.451159851,2.741428342,2.835670154,0.292022008,0.002000104
1,Specimen_002,C12,C12,36,buv.496,21317,2.19465308,2.676967831,3.27678339,2.707531413,2.785197605,0.255712914,0.001751417
1,Specimen_002,C12,C12,36,fsc,21317,2.058881356,3.05947254,3.931159795,3.038385367,3.174679277,0.360805287,0.002471211
1,Specimen_002,C12,C12,36,pe,21317,1.660106233,2.53455914,3.294364814,2.526419681,2.632508202,0.31272499,0.002141902
1,Specimen_002,C12,C12,36,percp.cy5.5,21317,2.113274703,3.111867163,3.974318212,3.107122137,3.238291543,0.348538069,0.002387191
1,Specimen_002,C12,C12,36,ssc,21317,2.000867741,2.781755375,3.496514519,2.798013095,2.905471821,0.307277594,0.002104592
1,Specimen_002,C2,C02,26,alexa.fluor.488,23796,1.139879092,2.115943197,2.980185248,2.110780538,2.271382741,0.385878883,0.002501492
1,Specimen_002,C2,C02,26,apc,23796,1.591064607,2.521608731,3.383693328,2.505171637,2.641246955,0.355274077,0.002303093
1,Specimen_002,C2,C02,26,buv.496,23796,2.180269269,2.74710096,3.428442604,2.777858269,2.880377523,0.294587589,0.001909688
1,Specimen_002,C2,C02,26,fsc,23796,1.539828556,2.766249234,3.867072512,2.740025392,2.943147238,0.446557187,0.002894844
1,Specimen_002,C2,C02,26,pe,23796,1.352182518,2.257054291,3.070000913,2.247155976,2.383264772,0.353169814,0.002289452
1,Specimen_002,C2,C02,26,percp.cy5.5,23796,1.697229336,2.85015593,3.846201005,2.839680992,3.02334561,0.417276982,0.002705032
1,Specimen_002,C2,C02,26,ssc,23796,1.704150536,2.571708832,3.387283046,2.589253258,2.723919366,0.344664629,0.002234317
1,Specimen_002,C3,C03,27,alexa.fluor.488,15609,0.991226084,1.843855442,2.549738739,1.820812959,1.952651015,0.354226001,0.00283526
